id,comercio,delta_predicho,fecha_ultimo,fecha_proximo_gasto,monto_predicho
003d9abe467a91847d566cf455bd2d7d6c8f7e75,AMAZON,10,2022-08-02,2022-08-12,32.45841091732792
003d9abe467a91847d566cf455bd2d7d6c8f7e75,AMAZON PRIME,28,2023-01-16,2023-02-13,7.755855387743981
003d9abe467a91847d566cf455bd2d7d6c8f7e75,CINEPOLIS,45,2022-12-28,2023-02-11,31.61455503625503
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI,2,2022-08-28,2022-08-30,6.92999580140686
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI FOOD,22,2022-10-16,2022-11-07,11.63258585125143
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDI RIDES,1,2023-01-23,2023-01-24,13.023487075140489
003d9abe467a91847d566cf455bd2d7d6c8f7e75,DIDIFOOD,20,2022-07-24,2022-08-13,11.569225446657345
003d9abe467a91847d566cf455bd2d7d6c8f7e75,ITUNES,31,2023-01-02,2023-02-02,15.573644866039391
003d9abe467a91847d566cf455bd2d7d6c8f7e75,KUESKI PAY,12,2023-01-15,2023-01-27,25.03828823488436
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MERCADO PAGO,21,2023-01-04,2023-01-25,17.179379595565752
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MERCADOPAGO,64,2022-11-05,2023-01-08,17.06484153416709
003d9abe467a91847d566cf455bd2d7d6c8f7e75,MICROSOFT,13,2023-01-13,2023-01-26,15.972886406524973
003d9abe467a91847d566cf455bd2d7d6c8f7e75,OXXO,74,2023-01-01,2023-03-16,13.090136419521766
003d9abe467a91847d566cf455bd2d7d6c8f7e75,RAPPI,5,2022-11-12,2022-11-17,24.726881580746376
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SAMS CLUB,73,2022-09-12,2022-11-24,26.635410962227713
003d9abe467a91847d566cf455bd2d7d6c8f7e75,SPOTIFY,30,2023-01-21,2023-02-20,15.41573161850485
003d9abe467a91847d566cf455bd2d7d6c8f7e75,STARBUCKS,86,2022-12-22,2023-03-18,14.120037289965786
003d9abe467a91847d566cf455bd2d7d6c8f7e75,UBER,1,2023-01-24,2023-01-25,13.569004504267161
003d9abe467a91847d566cf455bd2d7d6c8f7e75,UBER EATS,9,2023-01-13,2023-01-22,10.985297544240977
003d9abe467a91847d566cf455bd2d7d6c8f7e75,WALMART,23,2022-12-29,2023-01-21,9.168984419416034
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON,11,2023-01-28,2023-02-08,3.6453441037283003
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,AMAZON PRIME,30,2023-01-06,2023-02-05,7.759145465872595
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,APPLE,3,2023-01-21,2023-01-24,3.6845675086789083
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CARLS JR,65,2022-08-24,2022-10-28,60.37758527920323
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CHEDRAUI,8,2023-01-26,2023-02-03,76.62343774556325
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,CINEPOLIS,49,2022-07-26,2022-09-13,45.49281130257841
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,COSTCO,13,2023-01-26,2023-02-08,199.50494970187782
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,FARMACIAS DEL AHORRO,17,2022-07-11,2022-07-28,42.214114107914845
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,FARMACIAS GUADALAJARA,56,2022-11-17,2023-01-12,40.18604137166009
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,HEB,10,2022-09-28,2022-10-08,21.230224525626593
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,LIVERPOOL,21,2023-01-25,2023-02-15,258.12474412122043
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,MAX,31,2023-01-24,2023-02-24,23.087998961523276
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,MERCADO PAGO,114,2022-10-25,2023-02-16,23.16051594430568
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,MICROSOFT,14,2023-01-17,2023-01-31,10.071976897023948
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,NETFLIX,28,2023-01-16,2023-02-13,13.124003606777848
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,OXXO,5,2023-01-30,2023-02-04,2.2975843041192414
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,OXXO GAS,11,2023-01-28,2023-02-08,83.78393180275475
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,RAPPI,6,2023-01-16,2023-01-22,14.54091338871213
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,SAMS CLUB,32,2023-01-06,2023-02-07,5.000170764075583
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,SORIANA,25,2022-12-23,2023-01-17,11.362585077962322
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,STARBUCKS,84,2023-01-03,2023-03-28,9.976921354298783
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,SUPERCENTER,27,2023-01-21,2023-02-17,22.346546514442885
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,TELCEL,36,2023-01-12,2023-02-17,1.9599999999999997
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,UBER,21,2023-01-30,2023-02-20,14.043989008490357
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,UBER EATS,6,2023-01-29,2023-02-04,11.537798502575624
0066f66c7fb0d1102f9f924a56ff65a5fcaf3cea,WAL-MART,60,2022-12-04,2023-02-02,39.88962107276255
0132462ee1acf1c37e7411b20bac94e1d19959df,AMAZON,9,2023-01-14,2023-01-23,16.96038393104416
0132462ee1acf1c37e7411b20bac94e1d19959df,AMAZON PRIME,305,2022-12-30,2023-10-31,11.620045727405229
0132462ee1acf1c37e7411b20bac94e1d19959df,CARLS JR,218,2022-08-11,2023-03-17,31.13200210063951
0132462ee1acf1c37e7411b20bac94e1d19959df,CFE,51,2022-12-07,2023-01-27,65.96759976515322
0132462ee1acf1c37e7411b20bac94e1d19959df,CHEDRAUI,66,2022-11-10,2023-01-15,1.6015797198783261
0132462ee1acf1c37e7411b20bac94e1d19959df,CINEPOLIS,14,2022-09-08,2022-09-22,19.02818438077735
0132462ee1acf1c37e7411b20bac94e1d19959df,CRUNCHYROLL,36,2022-11-25,2022-12-31,13.909997186845386
0132462ee1acf1c37e7411b20bac94e1d19959df,DIDI FOOD,26,2023-01-12,2023-02-07,15.892216426070028
0132462ee1acf1c37e7411b20bac94e1d19959df,GOOGLE,20,2023-01-22,2023-02-11,18.189213782136765
0132462ee1acf1c37e7411b20bac94e1d19959df,ITUNES,31,2023-01-26,2023-02-26,1.4614945325920796
0132462ee1acf1c37e7411b20bac94e1d19959df,MERCADO PAGO,124,2023-01-24,2023-05-28,63.43
0132462ee1acf1c37e7411b20bac94e1d19959df,NETFLIX,31,2023-01-30,2023-03-02,36.72069271464686
0132462ee1acf1c37e7411b20bac94e1d19959df,OXXO,3,2023-01-30,2023-02-02,4.657423072549278
0132462ee1acf1c37e7411b20bac94e1d19959df,STARBUCKS,24,2022-12-08,2023-01-01,6.760811498133404
0132462ee1acf1c37e7411b20bac94e1d19959df,TELCEL,11,2023-01-12,2023-01-23,15.49136759883026
0132462ee1acf1c37e7411b20bac94e1d19959df,TOTALPLAY,34,2023-01-16,2023-02-19,59.88758647328385
0132462ee1acf1c37e7411b20bac94e1d19959df,UBER,48,2023-01-01,2023-02-18,13.62106717373448
0132462ee1acf1c37e7411b20bac94e1d19959df,UBER EATS,7,2023-01-09,2023-01-16,10.500368413539881
0132462ee1acf1c37e7411b20bac94e1d19959df,WALMART,0,2022-12-30,2022-12-30,254.5
0172891ba3000c3150a6985265517678ebbf3b39,ADOBE,46,2023-01-28,2023-03-15,21.451263047076417
0172891ba3000c3150a6985265517678ebbf3b39,AMAZON,11,2023-01-28,2023-02-08,9.217151982915471
0172891ba3000c3150a6985265517678ebbf3b39,AMAZON PRIME,30,2023-01-19,2023-02-18,7.754582940472543
0172891ba3000c3150a6985265517678ebbf3b39,CRUNCHYROLL,31,2023-01-29,2023-03-01,17.35590239977087
0172891ba3000c3150a6985265517678ebbf3b39,GOOGLE,21,2023-01-13,2023-02-03,2.5495232009586806
0172891ba3000c3150a6985265517678ebbf3b39,GOOGLE YOUTUBE,50,2023-01-09,2023-02-28,21.55953588789414
0172891ba3000c3150a6985265517678ebbf3b39,IZZI,335,2023-01-04,2023-12-05,125.54286960244987
0172891ba3000c3150a6985265517678ebbf3b39,LIVERPOOL,66,2022-12-23,2023-02-27,328.95740058878243
0172891ba3000c3150a6985265517678ebbf3b39,MERCADO PAGO,27,2023-01-29,2023-02-25,409.52833037755744
0172891ba3000c3150a6985265517678ebbf3b39,MI ATT,20,2022-05-24,2022-06-13,11.728848651020295
0172891ba3000c3150a6985265517678ebbf3b39,MICROSOFT,26,2023-01-05,2023-01-31,23.77281933899263
0172891ba3000c3150a6985265517678ebbf3b39,NETFLIX,28,2023-01-24,2023-02-21,25.384010449206635
0172891ba3000c3150a6985265517678ebbf3b39,OXXO,67,2022-12-03,2023-02-08,9.878024841710415
0172891ba3000c3150a6985265517678ebbf3b39,RAPPI,29,2022-12-20,2023-01-18,30.640806523537467
0172891ba3000c3150a6985265517678ebbf3b39,SORIANA,63,2023-01-19,2023-03-23,65.47016070804794
0172891ba3000c3150a6985265517678ebbf3b39,UBER,3,2023-01-20,2023-01-23,3.28938219518336
0172891ba3000c3150a6985265517678ebbf3b39,UBER EATS,6,2023-01-28,2023-02-03,12.320774718541882
0172891ba3000c3150a6985265517678ebbf3b39,UNDOSTRES,31,2023-01-29,2023-03-01,1.3397020133918645
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,ALIEXPRESS,73,2022-10-24,2023-01-05,279.79996843389796
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,AMAZON,14,2023-01-06,2023-01-20,5.582977170642608
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,AMAZON PRIME,11,2023-01-08,2023-01-19,7.752124952091876
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,CRUNCHYROLL,30,2023-01-26,2023-02-25,11.585111180036996
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,DIDI,8,2022-08-10,2022-08-18,5.884545382109716
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,DIDI FOOD,0,2022-03-09,2022-03-09,46.32
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,DIDIFOOD,11,2022-06-09,2022-06-20,27.43747076556902
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,MELIMAS,17,2023-01-12,2023-01-29,10.116669439400235
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,MERCADO PAGO,6,2023-01-30,2023-02-05,219.6698983908849
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,MERCADOPAGO,46,2023-01-16,2023-03-03,65.56540510422055
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,NETFLIX,30,2023-01-26,2023-02-25,25.386127971654727
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,RAPPI,15,2022-12-21,2023-01-05,31.812476772404953
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,RAPPIPRO,31,2022-12-23,2023-01-23,8.531247229081067
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,TEMU,236,2022-10-30,2023-06-23,36.300512626984414
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,TOTALPLAY,30,2023-01-01,2023-01-31,68.3955984588723
01d12d1c5b58348995b71cf1d5eb9257fa64d95b,UNDOSTRES,6,2023-01-23,2023-01-29,8.11071356167191
0222064a58a1778a4d7a9e10088174a532e71553,7 ELEVEN,31,2023-01-16,2023-02-16,5.622969117173879
0222064a58a1778a4d7a9e10088174a532e71553,AMAZON,11,2023-01-21,2023-02-01,51.84671197647322
0222064a58a1778a4d7a9e10088174a532e71553,APPLE,37,2023-01-15,2023-02-21,3.921006077687216
0222064a58a1778a4d7a9e10088174a532e71553,CINEPOLIS,14,2022-07-09,2022-07-23,12.325367265854187
0222064a58a1778a4d7a9e10088174a532e71553,FARMACIAS GUADALAJARA,32,2022-10-30,2022-12-01,17.97243915703608
0222064a58a1778a4d7a9e10088174a532e71553,GOOGLE,47,2023-01-16,2023-03-04,2.7703330194713396
0222064a58a1778a4d7a9e10088174a532e71553,MEGACABLE,32,2023-01-12,2023-02-13,59.48410932227038
0222064a58a1778a4d7a9e10088174a532e71553,MERCADO PAGO,73,2023-01-28,2023-04-11,55.99413130625422
0222064a58a1778a4d7a9e10088174a532e71553,OXXO,10,2023-01-29,2023-02-08,7.773713234217305
0222064a58a1778a4d7a9e10088174a532e71553,SORIANA,55,2022-08-20,2022-10-14,10.838876801791866
0222064a58a1778a4d7a9e10088174a532e71553,SPOTIFY,29,2023-01-15,2023-02-13,15.416960002969457
0222064a58a1778a4d7a9e10088174a532e71553,TELCEL,38,2023-01-18,2023-02-25,21.553689513171744
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,7 ELEVEN,17,2023-01-20,2023-02-06,5.220383489562014
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,AMAZON,6,2022-12-14,2022-12-20,189.22400542386495
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,APPLE,9,2023-01-29,2023-02-07,11.24967277812267
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,CARLS JR,20,2022-12-18,2023-01-07,20.978186024174555
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,CFE,79,2022-12-23,2023-03-12,102.62813930268456
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,CINEPOLIS,106,2022-11-15,2023-03-01,67.15764710594225
0225c1f9c7e66dc02b44b9a00cdd0fa9ba5a4c71,FARMACIAS DEL AHORRO,28,2022-12-06,2023-01-03,11.182309294998474
